step,rule,records_before,records_after,affected_records
删除完全重复行,drop_duplicates() 删除所有列完全相同的重复行,5630,5630,0
缺失值填补: Tenure,使用中位数 9.00 填补缺失值,5630,5630,264
缺失值填补: WarehouseToHome,使用中位数 14.00 填补缺失值,5630,5630,251
缺失值填补: HourSpendOnApp,使用中位数 3.00 填补缺失值,5630,5630,255
缺失值填补: OrderAmountHikeFromlastYear,使用中位数 15.00 填补缺失值,5630,5630,265
缺失值填补: CouponUsed,使用中位数 1.00 填补缺失值,5630,5630,256
缺失值填补: OrderCount,使用中位数 2.00 填补缺失值,5630,5630,258
缺失值填补: DaySinceLastOrder,使用中位数 3.00 填补缺失值,5630,5630,307
类别标准化: PreferredLoginDevice,'Phone' -> 'Mobile Phone',5630,5630,1231
类别标准化: PreferredPaymentMode,'COD' -> 'Cash on Delivery',5630,5630,365
类别标准化: PreferredPaymentMode,'CC' -> 'Credit Card',5630,5630,273
类别标准化: PreferedOrderCat,'Mobile' -> 'Mobile Phone',5630,5630,809
数据类型转换: Churn,转换为 int 类型，无法解析的值转为 0,5630,5630,0
数据类型转换: Complain,转换为 int 类型，无法解析的值转为 0,5630,5630,0
汇总,全部清洗步骤完成,5630,5630,0
